state_short,county_id,county_name,per_clinton,per_trump
MN,27139,Scott County,38,53
MN,27143,Sibley County,25,66
MN,27145,Stearns County,32,59
MN,27153,Todd County,23,70
MN,27159,Wadena County,24,69
MN,27163,Washington County,46,44
MN,27167,Wilkin County,27,64
MN,27169,Winona County,43,46
MN,27171,Wright County,29,62
MN,27173,Yellow Medicine County,29,64
NE,31017,Brown County,7,64
NE,31035,Clay County,11,57
NE,31055,Douglas County,33,31
NE,31061,Franklin County,11,59
NE,31079,Hall County,19,43
NE,31109,Lancaster County,33,32
NE,31121,Merrick County,12,58
NE,31129,Nuckolls County,11,54
NE,31141,Platte County,13,54
NE,31149,Rock County,7,67
NE,31173,Thurston County,20,23
NE,31181,Webster County,13,55
NE,31185,York County,12,47
NV,32005,Clark,54,43
NV,32009,Elko,19,76
NV,32011,Esmeralda,16,80
NV,32013,Eureka,9,89
NV,32017,Lander,17,79
NV,32027,Nye,27,70
NV,32031,Storey,30,65
NV,32510,White Pine,20,76
NJ,34005,Burlington County,54,40
NJ,34007,Camden County,64,32
NJ,34011,Cumberland County,51,45
NJ,34035,Somerset County,54,41
NJ,34041,Warren County,34,60
NM,35001,Bernalillo County,54,35
NM,35003,Catron County,21,73
NM,35005,Chaves County,28,64
NM,35006,Cibola County,47,40
NM,35007,Colfax County,41,49
NM,35009,Curry County,24,69
NM,35011,De Baca County,21,69
NM,35013,Dona Ana County,55,37
NM,35019,Guadalupe County,54,33
NM,35021,Harding County,30,60
NM,35023,Hidalgo County,43,50
NM,35025,Lea County,22,71
NM,35027,Lincoln County,27,67
NM,35029,Luna County,45,49
NM,35031,McKinley County,64,24
NM,35033,Mora County,64,28
NM,35035,Otero County,31,61
NM,35037,Quay County,29,63
NM,35039,Rio Arriba County,66,25
NM,35041,Roosevelt County,25,67
NM,35045,San Juan County,69,22
NM,35047,San Miguel County,46,43
NM,35049,Santa Fe County,73,21
NM,35055,Taos County,73,19
NM,35057,Torrance County,29,60
NM,35059,Union County,19,73
NY,36003,Allegany County,25,66
NY,36005,Bronx County,86,9
NY,36007,Broome County,43,47
NY,36009,Cattaraugus County,29,62
NY,36011,Cayuga County,38,52
NY,36013,Chautauqua County,33,58
NY,36015,Chemung County,36,55
NY,36017,Chenango County,32,59
NY,36019,Clinton County,41,42
NY,36021,Columbia County,45,44
NY,36023,Cortland County,41,48
NY,36025,Delaware County,31,60
NY,36029,Erie County,48,44
NY,36031,Essex County,42,46
NY,36033,Franklin County,41,48
NY,36035,Fulton County,29,63
NY,36037,Genesee County,27,63
NY,36039,Greene County,31,59
NY,36041,Hamilton County,28,63
NY,36043,Herkimer County,29,63
NY,36045,Jefferson County,34,56
NY,36047,Kings County,75,17
NY,36049,Lewis County,26,65
NY,36051,Livingston County,33,57
NY,36053,Madison County,36,53
NY,36055,Monroe County,51,39
NY,36057,Montgomery County,32,59
NY,36063,Niagara County,36,55
NY,36065,Oneida County,35,56
NY,36067,Onondaga County,50,39
NY,36069,Ontario County,40,49
NY,36073,Orleans County,26,66
NY,36075,Oswego County,33,57
NY,36077,Otsego County,38,51
NY,36081,Queens County,73,22
NY,36083,Rensselaer County,42,47
NY,36085,Richmond County,39,56
NY,36089,St. Lawrence County,42,47
NY,36091,Saratoga County,47,43
NY,36093,Schenectady County,28,62
NY,36095,Schoharie County,32,57
NY,36097,Schuyler County,38,51
NY,36099,Seneca County,40,50
NY,36101,Steuben County,28,63
NY,36107,Tioga County,32,59
NY,36109,Tompkins County,61,24
NY,36113,Warren County,39,50
NY,36115,Washington County,35,55
NY,36117,Wayne County,32,58
NY,36121,Wyoming County,21,71
ND,38001,Adams County,18,75
ND,38003,Barnes County,30,59
ND,38005,Benson County,42,46
ND,38007,Billings County,10,82
ND,38009,Bottineau County,21,71
ND,38011,Bowman County,13,81
ND,38013,Burke County,11,85
ND,38015,Burleigh County,23,68
ND,38017,Cass County,39,49
ND,38019,Cavalier County,24,68
ND,38021,Dickey County,23,69
ND,38023,Divide County,20,71
ND,38025,Dunn County,16,79
ND,38027,Eddy County,29,64
ND,38029,Emmons County,11,85
ND,38031,Foster County,20,72
ND,38033,Golden Valley County,10,83
ND,38037,Grant County,13,80
ND,38039,Griggs County,24,67
ND,38041,Hettinger County,13,81
ND,38043,Kidder County,13,81
ND,38045,LaMoure County,23,69
ND,38049,McHenry County,17,73
ND,38051,McIntosh County,16,76
ND,38053,McKenzie County,15,79
ND,38055,McLean County,20,73
ND,38057,Mercer County,13,80
ND,38059,Morton County,19,72
ND,38061,Mountrail County,30,63
ND,38063,Nelson County,31,60
ND,38065,Oliver County,12,82
ND,38067,Pembina County,22,70
ND,38069,Pierce County,21,69
ND,38071,Ramsey County,28,61
ND,38073,Ransom County,36,51
ND,38075,Renville County,16,77
ND,38077,Richland County,27,63
ND,38079,Rolette County,56,32
ND,38081,Sargent County,35,54
ND,38083,Sheridan County,12,83
ND,38085,Sioux County,62,21
ND,38087,Slope County,10,84
ND,38089,Stark County,14,79
ND,38091,Steele County,36,54
ND,38093,Stutsman County,25,66
ND,38095,Towner County,26,63
ND,38097,Traill County,32,58
ND,38099,Walsh County,25,65
ND,38101,Ward County,21,68
ND,38103,Wells County,18,75
OH,39049,Franklin County,59,34
OR,41001,Baker County,21,73
OR,41003,Benton County,62,29
OR,41005,Clackamas County,50,43
OR,41007,Clatsop County,49,43
OR,41009,Columbia County,40,52
OR,41011,Coos County,34,59
OR,41013,Crook County,22,72
OR,41015,Curry County,35,59
OR,41017,Deschutes County,45,48
OR,41019,Douglas County,27,66
OR,41023,Grant County,18,76
OR,41025,Harney County,18,75
OR,41031,Jefferson County,33,60
OR,41033,Josephine County,31,62
OR,41035,Klamath County,24,69
OR,41037,Lake County,17,78
OR,41039,Lane County,56,36
OR,41041,Lincoln County,51,41
OR,41043,Linn County,32,60
OR,41045,Malheur County,22,72
OR,41047,Marion County,44,48
OR,41051,Multnomah County,76,18
OR,41053,Polk County,43,49
OR,41057,Tillamook County,43,49
OR,41061,Union County,26,67
OR,41063,Wallowa County,26,67
OR,41067,Washington County,59,32
OR,41071,Yamhill County,41,50
PA,42001,Adams County,30,66
PA,42003,Allegheny County,57,40
PA,42017,Bucks County,49,48
PA,42027,Centre County,49,46
